venue_name,match_count,win_bat_first_pct,win_field_first_pct,avg_margin_runs,avg_margin_wickets,toss_decision_bat_pct,toss_decision_field_pct
Arun Jaitley Stadium,14,50.0,50.0,26.666666666666668,5.833333333333333,42.857142857142854,57.142857142857146
"Arun Jaitley Stadium, Delhi",4,25.0,75.0,55.0,6.0,25.0,75.0
Barabati Stadium,7,57.14285714285714,42.857142857142854,18.25,6.666666666666667,28.57142857142857,71.42857142857143
Brabourne Stadium,10,60.0,40.0,22.666666666666668,6.25,60.0,40.0
"Brabourne Stadium, Mumbai",17,47.05882352941176,52.94117647058824,28.375,6.333333333333333,17.647058823529413,82.35294117647058
Buffalo Park,3,66.66666666666666,33.33333333333333,43.5,7.0,100.0,0.0
De Beers Diamond Oval,3,33.33333333333333,66.66666666666666,53.0,5.0,66.66666666666666,33.33333333333334
Dr DY Patil Sports Academy,17,41.17647058823529,58.82352941176471,28.142857142857142,6.4,41.17647058823529,58.82352941176471
"Dr DY Patil Sports Academy, Mumbai",20,50.0,50.0,28.3,6.1,15.0,85.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,45.45454545454545,54.54545454545454,49.4,5.0,38.46153846153847,61.53846153846153
Dubai International Cricket Stadium,46,48.837209302325576,51.162790697674424,35.19047619047619,6.318181818181818,41.30434782608695,58.69565217391305
Eden Gardens,77,41.0958904109589,58.9041095890411,28.6,6.0,36.36363636363637,63.63636363636363
"Eden Gardens, Kolkata",2,50.0,50.0,14.0,7.0,0.0,100.0
Feroz Shah Kotla,60,47.368421052631575,52.63157894736842,32.22222222222222,6.133333333333334,43.333333333333336,56.666666666666664
Green Park,4,0.0,100.0,0.0,5.5,0.0,100.0
Himachal Pradesh Cricket Association Stadium,9,55.55555555555556,44.44444444444444,55.8,5.75,11.11111111111111,88.88888888888889
Holkar Cricket Stadium,9,11.11111111111111,88.88888888888889,31.0,7.25,11.11111111111111,88.88888888888889
JSCA International Stadium Complex,7,28.57142857142857,71.42857142857143,20.5,4.8,42.857142857142854,57.142857142857146
Kingsmead,15,57.14285714285714,42.857142857142854,18.5,5.5,66.66666666666666,33.33333333333334
M Chinnaswamy Stadium,65,42.3728813559322,57.6271186440678,46.64,6.5,12.307692307692308,87.6923076923077
M.Chinnaswamy Stadium,15,50.0,50.0,12.285714285714286,4.857142857142857,6.666666666666667,93.33333333333333
MA Chidambaram Stadium,9,44.44444444444444,55.55555555555556,39.0,6.2,22.22222222222222,77.77777777777777
"MA Chidambaram Stadium, Chepauk",48,63.829787234042556,36.17021276595745,23.833333333333332,6.529411764705882,70.83333333333334,29.166666666666657
"MA Chidambaram Stadium, Chepauk, Chennai",10,55.55555555555556,44.44444444444444,15.4,6.5,50.0,50.0
Maharashtra Cricket Association Stadium,22,36.36363636363637,63.63636363636363,44.5,5.928571428571429,9.090909090909092,90.9090909090909
"Maharashtra Cricket Association Stadium, Pune",13,76.92307692307693,23.076923076923077,35.3,5.0,15.384615384615385,84.61538461538461
"Narendra Modi Stadium, Ahmedabad",7,28.57142857142857,71.42857142857143,17.5,6.6,14.285714285714285,85.71428571428572
Nehru Stadium,5,75.0,25.0,36.666666666666664,6.0,40.0,60.0
New Wanderers Stadium,8,37.5,62.5,8.333333333333334,7.0,25.0,75.0
Newlands,7,80.0,20.0,36.25,8.0,57.14285714285714,42.85714285714286
OUTsurance Oval,2,50.0,50.0,14.0,6.0,50.0,50.0
Punjab Cricket Association IS Bindra Stadium,10,40.0,60.0,11.25,6.833333333333333,10.0,90.0
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,45.45454545454545,54.54545454545454,15.0,6.666666666666667,18.181818181818183,81.81818181818181
"Punjab Cricket Association Stadium, Mohali",35,42.857142857142854,57.14285714285714,33.4,6.35,40.0,60.0
Rajiv Gandhi International Stadium,15,53.333333333333336,46.666666666666664,33.125,6.0,33.33333333333333,66.66666666666667
"Rajiv Gandhi International Stadium, Uppal",49,41.30434782608695,58.69565217391305,23.789473684210527,6.592592592592593,46.93877551020408,53.06122448979592
"Sardar Patel Stadium, Motera",12,54.54545454545454,45.45454545454545,30.0,7.6,50.0,50.0
Saurashtra Cricket Association Stadium,10,33.33333333333333,66.66666666666666,23.333333333333332,8.0,30.0,70.0
Sawai Mansingh Stadium,47,30.434782608695656,69.56521739130434,37.857142857142854,6.3125,40.42553191489361,59.57446808510639
Shaheed Veer Narayan Singh International Stadium,6,33.33333333333333,66.66666666666666,10.5,6.25,50.0,50.0
Sharjah Cricket Stadium,28,35.714285714285715,64.28571428571429,36.7,6.111111111111111,28.57142857142857,71.42857142857143
Sheikh Zayed Stadium,29,40.74074074074074,59.25925925925925,37.63636363636363,6.5625,51.724137931034484,48.275862068965516
St George's Park,7,42.857142857142854,57.14285714285714,66.66666666666667,5.5,100.0,0.0
Subrata Roy Sahara Stadium,16,62.5,37.5,26.6,7.0,93.75,6.25
SuperSport Park,12,27.27272727272727,72.72727272727273,23.0,6.125,50.0,50.0
"Vidarbha Cricket Association Stadium, Jamtha",3,66.66666666666666,33.33333333333333,7.5,6.0,66.66666666666666,33.33333333333334
Wankhede Stadium,73,48.61111111111111,51.388888888888886,26.742857142857144,5.837837837837838,30.136986301369863,69.86301369863014
"Wankhede Stadium, Mumbai",31,38.70967741935484,61.29032258064516,24.416666666666668,5.842105263157895,22.58064516129032,77.41935483870968
"Zayed Cricket Stadium, Abu Dhabi",8,37.5,62.5,26.333333333333332,6.2,37.5,62.5
